user_id,ts_start,keys_total,clicks_total,scroll_delta,moved_distance,session_num
1144,2024-03-01 12:24:19,41,0,0.0,0.0,1.0
1144,2024-03-01 12:24:29,3,0,0.0,0.0,1.0
1144,2024-03-01 12:24:39,0,3,0.0,646.0,1.0
1144,2024-03-01 12:24:49,6,1,0.0,16.0,1.0
1144,2024-03-01 12:24:59,0,0,0.0,0.0,1.0
1144,2024-03-01 12:25:09,0,0,0.0,0.0,1.0
1144,2024-03-01 12:25:19,0,1,0.0,3203.0,1.0
1144,2024-03-01 12:25:29,8,1,0.0,499.0,1.0
1144,2024-03-01 12:25:39,0,2,0.0,3361.0,1.0
1144,2024-03-01 12:25:49,0,0,0.0,1172.0,1.0
1144,2024-03-01 12:26:00,0,1,0.0,3224.0,1.0
1144,2024-03-01 12:26:10,0,1,0.0,2751.0,1.0
1144,2024-03-01 12:26:20,0,4,0.0,2539.0,1.0
1144,2024-03-01 12:26:30,131,2,0.0,2604.0,1.0
1144,2024-03-01 12:26:40,0,1,0.0,2724.0,1.0
1144,2024-03-01 12:26:50,4,4,0.0,842.0,1.0
1144,2024-03-01 12:27:00,23,0,0.0,0.0,1.0
1144,2024-03-01 12:27:10,20,0,0.0,0.0,1.0
1144,2024-03-01 12:27:20,30,1,0.0,138.0,1.0
1144,2024-03-01 12:27:30,10,0,0.0,0.0,1.0
1144,2024-03-01 12:27:40,0,3,0.0,536.0,1.0
1144,2024-03-01 12:27:50,6,0,0.0,0.0,1.0
1144,2024-03-01 12:28:00,1,0,0.0,497.0,1.0
1144,2024-03-01 12:28:10,0,3,0.0,2624.0,1.0
1144,2024-03-01 12:28:20,0,1,0.0,1226.0,1.0
1144,2024-03-01 12:28:30,0,1,0.0,2497.0,1.0
1144,2024-03-01 12:28:40,0,4,0.0,2875.0,1.0
1144,2024-03-01 12:28:50,0,1,0.0,608.0,1.0
1144,2024-03-01 12:29:00,0,4,0.0,1945.0,1.0
1144,2024-03-01 12:29:10,0,1,0.0,648.0,1.0
1144,2024-03-01 12:29:20,0,0,0.0,896.0,1.0
1144,2024-03-01 12:29:30,0,2,0.0,2258.0,1.0
1144,2024-03-01 12:29:40,3,1,0.0,997.0,1.0
1144,2024-03-01 12:29:50,3,1,0.0,2198.0,1.0
1144,2024-03-01 12:30:00,0,0,0.0,0.0,1.0
1144,2024-03-01 12:30:10,0,0,0.0,50.0,1.0
1144,2024-03-01 12:30:20,0,0,0.0,11.0,1.0
1144,2024-03-01 12:30:30,0,1,0.0,0.0,1.0
1144,2024-03-01 12:30:40,0,3,0.0,840.0,1.0
1144,2024-03-01 12:30:50,0,0,0.0,0.0,1.0
1144,2024-03-01 12:31:00,0,0,0.0,0.0,1.0
1144,2024-03-01 12:31:10,0,0,0.0,0.0,1.0
1144,2024-03-01 12:31:20,0,0,0.0,0.0,1.0
1144,2024-03-01 12:31:30,0,2,0.0,2160.0,1.0
1144,2024-03-01 12:31:40,0,0,0.0,1022.0,1.0
1144,2024-03-01 12:31:50,0,1,0.0,418.0,1.0
1144,2024-03-01 12:32:00,0,1,0.0,717.0,1.0
1144,2024-03-01 12:32:10,0,1,0.0,1.0,1.0
1144,2024-03-01 12:32:20,0,0,0.0,0.0,1.0
1144,2024-03-01 12:32:30,0,0,0.0,25.0,1.0
1144,2024-03-01 12:32:40,0,0,0.0,1.0,1.0
1144,2024-03-01 12:32:50,0,0,0.0,19.0,1.0
1144,2024-03-01 12:33:00,0,0,0.0,0.0,1.0
1144,2024-03-01 12:33:10,0,0,0.0,0.0,1.0
1144,2024-03-01 12:33:20,0,0,0.0,1636.0,1.0
